tabela,grupo,variavel,descricao,tipo,categoria,coleta_2025,notas_importantes,primeiro_ano,ultimo_ano,status_coleta,comparabilidade_preliminar
Escola,Infraestrutura,QT_SALAS_UTILIZADAS,Número de salas de aula utilizadas na escola (dentro e fora do prédio),Num,,s,"A partir de 2019:
Variável derivada juntando QT_SALAS_UTILIZADAS_DENTRO e QT_SALAS_UTILIZADAS_FORA",2007.0,2025.0,Coleta contínua 2007-2025,Potencialmente comparável em toda a série
Matricula,Identificação,NU_ANO_CENSO,Ano do Censo,Num,,s,,2007.0,2025.0,Coleta contínua 2007-2025,Potencialmente comparável em toda a série
Matricula,Identificação,NO_ENTIDADE,Nome da Escola,Char,,s,,2007.0,2025.0,Coleta contínua 2007-2025,Potencialmente comparável em toda a série
Matricula,Identificação,CO_ENTIDADE,Código da Escola,Num,,s,,2007.0,2025.0,Coleta contínua 2007-2025,Potencialmente comparável em toda a série
Matricula,Geografia,NO_REGIAO,Nome da Região Geográfica,Char,,s,,2007.0,2025.0,Coleta contínua 2007-2025,Potencialmente comparável em toda a série
Matricula,Geografia,CO_REGIAO,Código da Região Geográfica,Num,,s,,2007.0,2025.0,Coleta contínua 2007-2025,Potencialmente comparável em toda a série
Matricula,Geografia,NO_UF,Nome da Unidade da Federação,Char,,s,,2007.0,2025.0,Coleta contínua 2007-2025,Potencialmente comparável em toda a série
Matricula,Geografia,SG_UF,Sigla da Unidade da Federação,Char,,s,,2007.0,2025.0,Coleta contínua 2007-2025,Potencialmente comparável em toda a série
Matricula,Geografia,CO_UF,Código da Unidade da Federação,Num,,s,,2007.0,2025.0,Coleta contínua 2007-2025,Potencialmente comparável em toda a série
Matricula,Geografia,NO_MUNICIPIO,Nome do Município,Char,,s,,2007.0,2025.0,Coleta contínua 2007-2025,Potencialmente comparável em toda a série
Matricula,Geografia,CO_MUNICIPIO,Código do Município,Num,,s,,2007.0,2025.0,Coleta contínua 2007-2025,Potencialmente comparável em toda a série
Matricula,Segmentação,TP_DEPENDENCIA,Dependência Administrativa,Num,"1 - Federal
2 - Estadual
3 - Municipal
4 - Privada",s,,2007.0,2025.0,Coleta contínua 2007-2025,Potencialmente comparável em toda a série
Matricula,Segmentação,TP_CATEGORIA_ESCOLA_PRIVADA,Categoria da escola privada,Num,"1 - Particular
2 - Comunitária
3 - Confessional
4 - Filantrópica
   - Não aplicável para escolas públicas",s,,2007.0,2025.0,Coleta contínua 2007-2025,Potencialmente comparável em toda a série
