ordem,coluna,tipo,registros_total,registros_preenchidos,percentual_preenchido
1,NU_ANO_CENSO,int64,178772,178772,100.0
2,NO_REGIAO,object,178772,178771,100.0
3,CO_REGIAO,int64,178772,178772,100.0
4,NO_UF,object,178772,178771,100.0
5,SG_UF,object,178772,178771,100.0
6,CO_UF,int64,178772,178772,100.0
7,NO_MUNICIPIO,object,178772,178771,100.0
8,CO_MUNICIPIO,int64,178772,178772,100.0
9,NO_REGIAO_GEOG_INTERM,object,178772,178771,100.0
10,CO_REGIAO_GEOG_INTERM,float64,178772,178771,100.0
11,NO_REGIAO_GEOG_IMED,object,178772,178771,100.0
12,CO_REGIAO_GEOG_IMED,float64,178772,178771,100.0
13,NO_DISTRITO,object,178772,178771,100.0
14,CO_DISTRITO,int64,178772,178772,100.0
15,NO_SUBDISTRITO,object,178772,1291,0.72
16,CO_SUBDISTRITO,float64,178772,1291,0.72
17,NO_ENTIDADE,object,178772,178772,100.0
18,CO_ENTIDADE,int64,178772,178772,100.0
19,CO_REDE,int64,178772,178772,100.0
20,TP_DEPENDENCIA,int64,178772,178772,100.0
21,TP_CATEGORIA_ESCOLA_PRIVADA,float64,178772,41751,23.35
22,TP_LOCALIZACAO,int64,178772,178772,100.0
23,TP_LOCALIZACAO_DIFERENCIADA,int64,178772,178772,100.0
24,IN_PODER_PUBLICO_PARCERIA,int64,178772,178772,100.0
25,TP_PODER_PUBLICO_PARCERIA,float64,178772,10078,5.64
26,QT_DOC_BAS,int64,178772,178772,100.0
27,QT_DOC_INF,int64,178772,178772,100.0
28,QT_DOC_INF_CRE,int64,178772,178772,100.0
29,QT_DOC_INF_PRE,int64,178772,178772,100.0
30,QT_DOC_FUND,int64,178772,178772,100.0
31,QT_DOC_FUND_AI,int64,178772,178772,100.0
32,QT_DOC_FUND_AI_1,int64,178772,178772,100.0
33,QT_DOC_FUND_AI_2,int64,178772,178772,100.0
34,QT_DOC_FUND_AI_3,int64,178772,178772,100.0
35,QT_DOC_FUND_AI_4,int64,178772,178772,100.0
36,QT_DOC_FUND_AI_5,int64,178772,178772,100.0
37,QT_DOC_FUND_AI_MULTIETAPA,int64,178772,178772,100.0
38,QT_DOC_FUND_AF,int64,178772,178772,100.0
39,QT_DOC_FUND_AF_6,int64,178772,178772,100.0
40,QT_DOC_FUND_AF_7,int64,178772,178772,100.0
41,QT_DOC_FUND_AF_8,int64,178772,178772,100.0
42,QT_DOC_FUND_AF_9,int64,178772,178772,100.0
43,QT_DOC_FUND_AF_MULTI,int64,178772,178772,100.0
44,QT_DOC_FUND_AF_CORRFLUXO,int64,178772,178772,100.0
45,QT_DOC_MED,int64,178772,178772,100.0
46,QT_DOC_MED_1,int64,178772,178772,100.0
47,QT_DOC_MED_2,int64,178772,178772,100.0
48,QT_DOC_MED_3,int64,178772,178772,100.0
49,QT_DOC_MED_4,int64,178772,178772,100.0
50,QT_DOC_MED_NS,int64,178772,178772,100.0
51,QT_DOC_MED_PROP,int64,178772,178772,100.0
52,QT_DOC_MED_PROP_1,int64,178772,178772,100.0
53,QT_DOC_MED_PROP_2,int64,178772,178772,100.0
54,QT_DOC_MED_PROP_3,int64,178772,178772,100.0
55,QT_DOC_MED_PROP_4,int64,178772,178772,100.0
56,QT_DOC_MED_PROP_NS,int64,178772,178772,100.0
57,QT_DOC_MED_IFTP_CT,int64,178772,178772,100.0
58,QT_DOC_MED_IFTP_CT_1,int64,178772,178772,100.0
59,QT_DOC_MED_IFTP_CT_2,int64,178772,178772,100.0
60,QT_DOC_MED_IFTP_CT_3,int64,178772,178772,100.0
61,QT_DOC_MED_IFTP_CT_4,int64,178772,178772,100.0
62,QT_DOC_MED_IFTP_CT_NS,int64,178772,178772,100.0
63,QT_DOC_MED_IFTP_QP,int64,178772,178772,100.0
64,QT_DOC_MED_IFTP_QP_1,int64,178772,178772,100.0
65,QT_DOC_MED_IFTP_QP_2,int64,178772,178772,100.0
66,QT_DOC_MED_IFTP_QP_3,int64,178772,178772,100.0
67,QT_DOC_MED_IFTP_QP_4,int64,178772,178772,100.0
68,QT_DOC_MED_IFTP_QP_NS,int64,178772,178772,100.0
69,QT_DOC_MED_NM,int64,178772,178772,100.0
70,QT_DOC_MED_NM_1,int64,178772,178772,100.0
71,QT_DOC_MED_NM_2,int64,178772,178772,100.0
72,QT_DOC_MED_NM_3,int64,178772,178772,100.0
73,QT_DOC_MED_NM_4,int64,178772,178772,100.0
74,QT_DOC_PROF,int64,178772,178772,100.0
75,QT_DOC_PROF_TEC,int64,178772,178772,100.0
76,QT_DOC_PROF_TEC_CONC,int64,178772,178772,100.0
77,QT_DOC_PROF_TEC_SUBS,int64,178772,178772,100.0
78,QT_DOC_PROF_TEC_MISTO,int64,178772,178772,100.0
79,QT_DOC_PROF_TEC_IFTP_CT,int64,178772,178772,100.0
80,QT_DOC_PROF_NAO_TEC,int64,178772,178772,100.0
81,QT_DOC_PROF_IFTP_QP,int64,178772,178772,100.0
82,QT_DOC_PROF_FIC_CONC,int64,178772,178772,100.0
83,QT_DOC_EJA,int64,178772,178772,100.0
84,QT_DOC_EJA_FUND,int64,178772,178772,100.0
85,QT_DOC_EJA_FUND_NPROF,int64,178772,178772,100.0
86,QT_DOC_EJA_FUND_AI,int64,178772,178772,100.0
87,QT_DOC_EJA_FUND_AF,int64,178772,178772,100.0
88,QT_DOC_EJA_FUND_FIC,int64,178772,178772,100.0
89,QT_DOC_EJA_MED,int64,178772,178772,100.0
90,QT_DOC_EJA_MED_NPROF,int64,178772,178772,100.0
91,QT_DOC_EJA_MED_FIC,int64,178772,178772,100.0
92,QT_DOC_EJA_MED_TEC,int64,178772,178772,100.0
93,QT_DOC_ESP,int64,178772,178772,100.0
94,QT_DOC_ESP_CC,int64,178772,178772,100.0
95,QT_DOC_ESP_CE,int64,178772,178772,100.0
96,QT_DOC_BAS_FEM,int64,178772,178772,100.0
97,QT_DOC_BAS_MASC,int64,178772,178772,100.0
98,QT_DOC_BAS_ND,int64,178772,178772,100.0
99,QT_DOC_BAS_BRANCA,int64,178772,178772,100.0
100,QT_DOC_BAS_PRETA,int64,178772,178772,100.0
101,QT_DOC_BAS_PARDA,int64,178772,178772,100.0
102,QT_DOC_BAS_AMARELA,int64,178772,178772,100.0
103,QT_DOC_BAS_INDIGENA,int64,178772,178772,100.0
104,QT_DOC_BAS_0_24,int64,178772,178772,100.0
105,QT_DOC_BAS_25_29,int64,178772,178772,100.0
106,QT_DOC_BAS_30_39,int64,178772,178772,100.0
107,QT_DOC_BAS_40_49,int64,178772,178772,100.0
108,QT_DOC_BAS_50_54,int64,178772,178772,100.0
109,QT_DOC_BAS_55_59,int64,178772,178772,100.0
110,QT_DOC_BAS_60_MAIS,int64,178772,178772,100.0
111,QT_DOC_BAS_PCD,int64,178772,178772,100.0
112,QT_DOC_BAS_ZR_URB,int64,178772,178772,100.0
113,QT_DOC_BAS_ZR_RUR,int64,178772,178772,100.0
114,QT_DOC_BAS_ZR_NA,int64,178772,178772,100.0
115,QT_DOC_BAS_ESCO_EF,int64,178772,178772,100.0
116,QT_DOC_BAS_ESCO_EM,int64,178772,178772,100.0
117,QT_DOC_BAS_ESCO_SUP_GRAD,int64,178772,178772,100.0
118,QT_DOC_BAS_ESCO_SUP_GRAD_LICEN,int64,178772,178772,100.0
119,QT_DOC_BAS_ESCO_SUP_GRAD_SLICEN,int64,178772,178772,100.0
120,QT_DOC_BAS_ESCO_SUP_POS_ESPEC,int64,178772,178772,100.0
121,QT_DOC_BAS_ESCO_SUP_POS_MESTRA,int64,178772,178772,100.0
122,QT_DOC_BAS_ESCO_SUP_POS_DOUTO,int64,178772,178772,100.0
123,QT_DOC_BAS_ESCO_SUP_POS_NENHUM,int64,178772,178772,100.0
124,QT_DOC_BAS_VINCULO_CONCUR,int64,178772,178772,100.0
125,QT_DOC_BAS_VINCULO_CONTRA,int64,178772,178772,100.0
126,QT_DOC_BAS_VINCULO_TERCEIR,int64,178772,178772,100.0
127,QT_DOC_BAS_VINCULO_CLT,int64,178772,178772,100.0
128,QT_DOC_BAS_DOCENTE,int64,178772,178772,100.0
129,QT_DOC_BAS_AUXILIAR,int64,178772,178772,100.0
130,QT_DOC_BAS_PROFI_MONITOR,int64,178772,178772,100.0
131,QT_DOC_BAS_TRADUTOR_LIBRAS,int64,178772,178772,100.0
132,QT_DOC_BAS_TITULAR_EAD,int64,178772,178772,100.0
133,QT_DOC_BAS_TUTOR_AUX_EAD,int64,178772,178772,100.0
134,QT_DOC_BAS_GUIA_INTERPRETE,int64,178772,178772,100.0
135,QT_DOC_BAS_APOIO_PCD,int64,178772,178772,100.0
136,QT_DOC_BAS_INSTRUTOR_EP,int64,178772,178772,100.0
137,QT_DOC_BAS_ESPEC_CRE,int64,178772,178772,100.0
138,QT_DOC_BAS_ESPEC_PRE_ESCOLA,int64,178772,178772,100.0
139,QT_DOC_BAS_ESPEC_ANOS_INICIAIS,int64,178772,178772,100.0
140,QT_DOC_BAS_ESPEC_ANOS_FINAIS,int64,178772,178772,100.0
141,QT_DOC_BAS_ESPEC_ENS_MEDIO,int64,178772,178772,100.0
142,QT_DOC_BAS_ESPEC_EJA,int64,178772,178772,100.0
143,QT_DOC_BAS_ESPEC_ED_ESPECIAL,int64,178772,178772,100.0
144,QT_DOC_BAS_ESPEC_BIL_SURDOS,int64,178772,178772,100.0
145,QT_DOC_BAS_ESPEC_ED_INDIGENA,int64,178772,178772,100.0
146,QT_DOC_BAS_ESPEC_CAMPO,int64,178772,178772,100.0
147,QT_DOC_BAS_ESPEC_AMBIENTAL,int64,178772,178772,100.0
148,QT_DOC_BAS_ESPEC_DIR_HUMANOS,int64,178772,178772,100.0
149,QT_DOC_BAS_ESPEC_DIV_SEXUAL,int64,178772,178772,100.0
150,QT_DOC_BAS_ESPEC_DIR_ADOLESC,int64,178772,178772,100.0
151,QT_DOC_BAS_ESPEC_AFRO,int64,178772,178772,100.0
152,QT_DOC_BAS_ESPEC_GESTAO,int64,178772,178772,100.0
153,QT_DOC_BAS_ESPEC_EDUC_TIC,int64,178772,178772,100.0
154,QT_DOC_BAS_ESPEC_OUTROS,int64,178772,178772,100.0
155,QT_DOC_BAS_ESPEC_NENHUM,int64,178772,178772,100.0
156,QT_DOC_BAS_DISC_LINGUA_PORT,int64,178772,178772,100.0
157,QT_DOC_BAS_DISC_EDUC_FISICA,int64,178772,178772,100.0
158,QT_DOC_BAS_DISC_ARTES,int64,178772,178772,100.0
159,QT_DOC_BAS_DISC_LINGUA_ING,int64,178772,178772,100.0
160,QT_DOC_BAS_DISC_LINGUA_ESPA,int64,178772,178772,100.0
161,QT_DOC_BAS_DISC_LINGUA_FRANC,int64,178772,178772,100.0
162,QT_DOC_BAS_DISC_LINGUA_OUTRA,int64,178772,178772,100.0
163,QT_DOC_BAS_DISC_LIBRAS,int64,178772,178772,100.0
164,QT_DOC_BAS_DISC_LINGUA_INDIG,int64,178772,178772,100.0
165,QT_DOC_BAS_DISC_PORT_SEG_LINGUA,int64,178772,178772,100.0
166,QT_DOC_BAS_DISC_MATEMATICA,int64,178772,178772,100.0
167,QT_DOC_BAS_DISC_CIENCIAS,int64,178772,178772,100.0
168,QT_DOC_BAS_DISC_FISICA,int64,178772,178772,100.0
169,QT_DOC_BAS_DISC_QUIMICA,int64,178772,178772,100.0
170,QT_DOC_BAS_DISC_BIOLOGIA,int64,178772,178772,100.0
171,QT_DOC_BAS_DISC_HISTORIA,int64,178772,178772,100.0
172,QT_DOC_BAS_DISC_GEOGRAFIA,int64,178772,178772,100.0
173,QT_DOC_BAS_DISC_SOCIOLOGIA,int64,178772,178772,100.0
174,QT_DOC_BAS_DISC_FILOSOFIA,int64,178772,178772,100.0
175,QT_DOC_BAS_DISC_EST_SOCIAIS,int64,178772,178772,100.0
176,QT_DOC_BAS_DISC_EST_SOCIAIS_SOCI,int64,178772,178772,100.0
177,QT_DOC_BAS_DISC_INFO_COMPUTACAO,int64,178772,178772,100.0
178,QT_DOC_BAS_DISC_ENSINO_RELIGIOSO,int64,178772,178772,100.0
179,QT_DOC_BAS_DISC_PROFISSIONA,int64,178772,178772,100.0
180,QT_DOC_BAS_DISC_ESTAGIO_SUPER,int64,178772,178772,100.0
181,QT_DOC_BAS_DISC_PEDAGOGICAS,int64,178772,178772,100.0
182,QT_DOC_BAS_DISC_PROJETO_DE_VIDA,int64,178772,178772,100.0
183,QT_DOC_BAS_DISC_OUTRAS,int64,178772,178772,100.0
184,QT_DOC_BAS_LIBRAS,int64,178772,178772,100.0
