tabela,variavel,descricao,primeiro_ano,ultimo_ano,status_coleta,anos_nao_coletados,comparabilidade_preliminar,categoria,notas_importantes
Escola,IN_LIXO_RECICLA,Tratamento do lixo/resíduos que a escola realiza - Reciclagem,2007.0,2018.0,Descontinuada após 2018,"2019, 2020, 2021, 2022, 2023, 2024, 2025",Comparável apenas no período de coleta,"0 - Não
1 - Sim",
Escola,IN_TRATAMENTO_LIXO_SEPARACAO,Tratamento do lixo/resíduos que a escola realiza - Separação do lixo/resíduos,2019.0,2025.0,Coleta iniciada em 2019,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018",Comparável apenas no período de coleta,"0 - Não
1 - Sim
9 - Não informado",
Escola,IN_TRATAMENTO_LIXO_REUTILIZA,Tratamento do lixo/resíduos que a escola realiza - Reaproveitamento/reutilização,2019.0,2025.0,Coleta iniciada em 2019,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018",Comparável apenas no período de coleta,"0 - Não
1 - Sim
9 - Não informado",
Escola,IN_TRATAMENTO_LIXO_RECICLAGEM,Tratamento do lixo/resíduos que a escola realiza - Reciclagem,2019.0,2025.0,Coleta iniciada em 2019,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018",Comparável apenas no período de coleta,"0 - Não
1 - Sim
9 - Não informado",
Escola,IN_TRATAMENTO_LIXO_INEXISTENTE,Tratamento do lixo/resíduos que a escola realiza - Não faz tratamento,2019.0,2025.0,Coleta iniciada em 2019,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018",Comparável apenas no período de coleta,"0 - Não
1 - Sim
9 - Não informado",
Escola,IN_ALMOXARIFADO,Dependências físicas existentes e utilizadas na escola - Almoxarifado,2012.0,2025.0,Coleta iniciada em 2012,"2007, 2008, 2009, 2010, 2011",Comparável apenas no período de coleta,"0 - Não
1 - Sim",
Escola,IN_AREA_VERDE,Dependências físicas existentes e utilizadas na escola - Área de vegetação ou gramado,2012.0,2025.0,Coleta iniciada em 2012,"2007, 2008, 2009, 2010, 2011",Comparável apenas no período de coleta,"0 - Não
1 - Sim",
Escola,IN_AREA_PLANTIO,"Dependências físicas existentes e utilizadas na escola - Área de horta, plantio e/ou produção agrícola",2024.0,2025.0,Coleta iniciada em 2024,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023",Comparável apenas no período de coleta,"0 - Não
1 - Sim",
Escola,IN_AUDITORIO,Dependências físicas existentes e utilizadas na escola - Auditório,2012.0,2025.0,Coleta iniciada em 2012,"2007, 2008, 2009, 2010, 2011",Comparável apenas no período de coleta,"0 - Não
1 - Sim",
Escola,IN_BANHEIRO_FORA_PREDIO,Dependências físicas existentes e utilizadas na escola - Banheiro fora do prédio,2007.0,2018.0,Descontinuada após 2018,"2019, 2020, 2021, 2022, 2023, 2024, 2025",Comparável apenas no período de coleta,"0 - Não
1 - Sim",
Escola,IN_BANHEIRO_DENTRO_PREDIO,Dependências físicas existentes e utilizadas na escola - Banheiro dentro do prédio,2007.0,2018.0,Descontinuada após 2018,"2019, 2020, 2021, 2022, 2023, 2024, 2025",Comparável apenas no período de coleta,"0 - Não
1 - Sim",
Escola,IN_BANHEIRO,Dependências físicas existentes e utilizadas na escola - Banheiro ,2019.0,2025.0,Coleta iniciada em 2019,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018",Comparável apenas no período de coleta,"0 - Não
1 - Sim",
Escola,IN_BANHEIRO_EI,Dependências físicas existentes e utilizadas na escola - Banheiro adequado à educação infantil,2009.0,2025.0,Coleta iniciada em 2009,"2007, 2008",Comparável apenas no período de coleta,"0 - Não
1 - Sim",
Escola,IN_BANHEIRO_PNE,"Dependências físicas existentes e utilizadas na escola - Banheiro acessível, adequado ao uso de pessoas com deficiência ou mobilidade reduzida",2007.0,2025.0,Coleta contínua 2007-2025,,Potencialmente comparável em toda a série,"0 - Não
1 - Sim",
Escola,IN_BANHEIRO_FUNCIONARIOS,Dependências físicas existentes e utilizadas na escola - Banheiro exclusivo para os funcionários,2019.0,2025.0,Coleta iniciada em 2019,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018",Comparável apenas no período de coleta,"0 - Não
1 - Sim",
Escola,IN_BANHEIRO_CHUVEIRO,Dependências físicas existentes e utilizadas na escola - Banheiro ou vestiário com chuveiro,2012.0,2025.0,Coleta iniciada em 2012,"2007, 2008, 2009, 2010, 2011",Comparável apenas no período de coleta,"0 - Não
1 - Sim","De 2012 a 2018: ""Banheiro com chuveiro""
A partir de 2019: ""Banheiro ou vestiário com chuveiro"""
Escola,IN_BERCARIO,Dependências físicas existentes e utilizadas na escola - Berçário,2009.0,2018.0,Coleta contínua de 2009 a 2018,"2007, 2008, 2019, 2020, 2021, 2022, 2023, 2024, 2025",Comparável apenas no período de coleta,"0 - Não
1 - Sim",
Escola,IN_BIBLIOTECA,Dependências físicas existentes e utilizadas na escola - Biblioteca,2009.0,2025.0,Coleta iniciada em 2009,"2007, 2008",Comparável apenas no período de coleta,"0 - Não
1 - Sim",
Escola,IN_BIBLIOTECA_SALA_LEITURA,Dependências físicas existentes e utilizadas na escola - Biblioteca e/ou Sala de leitura,2007.0,2025.0,Coleta contínua 2007-2025,,Potencialmente comparável em toda a série,"0 - Não
1 - Sim",
Escola,IN_COZINHA,Dependências físicas existentes e utilizadas na escola - Cozinha,2007.0,2025.0,Coleta contínua 2007-2025,,Potencialmente comparável em toda a série,"0 - Não
1 - Sim",
Escola,IN_DESPENSA,Dependências físicas existentes e utilizadas na escola - Despensa,2012.0,2025.0,Coleta iniciada em 2012,"2007, 2008, 2009, 2010, 2011",Comparável apenas no período de coleta,"0 - Não
1 - Sim",
Escola,IN_DORMITORIO_ALUNO,Dependências físicas existentes e utilizadas na escola - Dormitório de aluno(a),2012.0,2025.0,Coleta iniciada em 2012,"2007, 2008, 2009, 2010, 2011",Comparável apenas no período de coleta,"0 - Não
1 - Sim","De 2012 a 2018: ""Alojamento de aluno""
A partir de 2019: ""Dormitório de aluno(a)"
Escola,IN_DORMITORIO_PROFESSOR,Dependências físicas existentes e utilizadas na escola - Dormitório de professor(a),2012.0,2025.0,Coleta iniciada em 2012,"2007, 2008, 2009, 2010, 2011",Comparável apenas no período de coleta,"0 - Não
1 - Sim","De 2012 a 2018: ""Alojamento de professor""
A partir de 2019: ""Dormitório de professor(a)"""
Escola,IN_LABORATORIO_CIENCIAS,Dependências físicas existentes e utilizadas na escola - Laboratório de ciências,2007.0,2025.0,Coleta contínua 2007-2025,,Potencialmente comparável em toda a série,"0 - Não
1 - Sim",
Escola,IN_LABORATORIO_INFORMATICA,Dependências físicas existentes e utilizadas na escola - Laboratório de informática,2007.0,2025.0,Coleta contínua 2007-2025,,Potencialmente comparável em toda a série,"0 - Não
1 - Sim",
Escola,IN_LABORATORIO_EDUC_PROF,Dependências físicas existentes e utilizadas na escola - Laboratório específico para a Educação Profissional,2022.0,2025.0,Coleta iniciada em 2022,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021",Comparável apenas no período de coleta,"0 - Não
1 - Sim",
Escola,IN_PATIO_COBERTO,Dependências físicas existentes e utilizadas na escola - Pátio coberto,2012.0,2025.0,Coleta iniciada em 2012,"2007, 2008, 2009, 2010, 2011",Comparável apenas no período de coleta,"0 - Não
1 - Sim",
Escola,IN_PATIO_DESCOBERTO,Dependências físicas existentes e utilizadas na escola - Pátio descoberto,2012.0,2025.0,Coleta iniciada em 2012,"2007, 2008, 2009, 2010, 2011",Comparável apenas no período de coleta,"0 - Não
1 - Sim",
Escola,IN_PARQUE_INFANTIL,Dependências físicas existentes e utilizadas na escola - Parque infantil,2007.0,2025.0,Coleta contínua 2007-2025,,Potencialmente comparável em toda a série,"0 - Não
1 - Sim",
Escola,IN_PISCINA,Dependências físicas existentes e utilizadas na escola - Piscina,2019.0,2025.0,Coleta iniciada em 2019,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018",Comparável apenas no período de coleta,"0 - Não
1 - Sim",
Escola,IN_QUADRA_ESPORTES,Dependências físicas existentes e utilizadas na escola - Quadra de esportes coberta ou descoberta,2007.0,2025.0,Coleta contínua 2007-2025,,Potencialmente comparável em toda a série,"0 - Não
1 - Sim",
Escola,IN_QUADRA_ESPORTES_COBERTA,Dependências físicas existentes e utilizadas na escola - Quadra de esportes coberta,2011.0,2025.0,Coleta iniciada em 2011,"2007, 2008, 2009, 2010",Comparável apenas no período de coleta,"0 - Não
1 - Sim",
Escola,IN_QUADRA_ESPORTES_DESCOBERTA,Dependências físicas existentes e utilizadas na escola - Quadra de esportes descoberta,2011.0,2025.0,Coleta iniciada em 2011,"2007, 2008, 2009, 2010",Comparável apenas no período de coleta,"0 - Não
1 - Sim",
Escola,IN_REFEITORIO,Dependências físicas existentes e utilizadas na escola - Refeitório,2012.0,2025.0,Coleta iniciada em 2012,"2007, 2008, 2009, 2010, 2011",Comparável apenas no período de coleta,"0 - Não
1 - Sim",
Escola,IN_SALA_ATELIE_ARTES,Dependências físicas existentes e utilizadas na escola - Sala/ateliê de artes,2019.0,2025.0,Coleta iniciada em 2019,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018",Comparável apenas no período de coleta,"0 - Não
1 - Sim",
Escola,IN_SALA_MUSICA_CORAL,Dependências físicas existentes e utilizadas na escola -  Sala de música/coral,2019.0,2025.0,Coleta iniciada em 2019,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018",Comparável apenas no período de coleta,"0 - Não
1 - Sim",
