tabela,variavel,descricao,primeiro_ano,ultimo_ano,status_coleta,anos_nao_coletados,comparabilidade_preliminar,categoria,notas_importantes
Escola,NU_DDD,DDD,,,Sem coleta no período,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025",Comparável apenas no período de coleta,,
Escola,NU_TELEFONE,Telefone,,,Sem coleta no período,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025",Comparável apenas no período de coleta,,
Escola,LATITUDE,Georreferenciamento da Escola - Latitude,,,Sem coleta no período,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025",Comparável apenas no período de coleta,,
Escola,LONGITUDE,Georreferenciamento da Escola - Longitude,,,Sem coleta no período,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025",Comparável apenas no período de coleta,,
Escola,TP_SITUACAO_FUNCIONAMENTO,Situação de funcionamento,2007.0,2025.0,Coleta contínua 2007-2025,,Potencialmente comparável em toda a série,"1 - Em Atividade
2 - Paralisada
3 - Extinta (ano do Censo)
4 - Extinta em Anos Anteriores",
Escola,CO_ORGAO_REGIONAL,Código do Órgão Regional de Ensino,2007.0,2025.0,Coleta contínua 2007-2025,,Potencialmente comparável em toda a série,,
Escola,DT_ANO_LETIVO_INICIO,Início do ano letivo,2008.0,2025.0,Coleta iniciada em 2008,2007,Comparável apenas no período de coleta,,
Escola,DT_ANO_LETIVO_TERMINO,Término (previsão) do ano letivo,2008.0,2025.0,Coleta iniciada em 2008,2007,Comparável apenas no período de coleta,,
Escola,IN_VINCULO_SECRETARIA_EDUCACAO,Órgão ao qual a escola pública está vinculada - Secretaria de Educação/Ministério da Educação,2019.0,2025.0,Coleta iniciada em 2019,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018",Comparável apenas no período de coleta,"0 - Não
1 - Sim
   - Não aplicável para escolas privadas",
Escola,IN_VINCULO_SEGURANCA_PUBLICA,Órgão ao qual a escola pública está vinculada - Secretaria de Segurança Pública/Forças Armadas/Militar,2019.0,2025.0,Coleta iniciada em 2019,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018",Comparável apenas no período de coleta,"0 - Não
1 - Sim
   - Não aplicável para escolas privadas",
Escola,IN_VINCULO_SECRETARIA_SAUDE,Órgão ao qual a escola pública está vinculada - Secretaria de Saúde/Ministério da Saúde,2019.0,2025.0,Coleta iniciada em 2019,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018",Comparável apenas no período de coleta,"0 - Não
1 - Sim
   - Não aplicável para escolas privadas",
Escola,IN_VINCULO_OUTRO_ORGAO,Órgão ao qual a escola pública está vinculada - Outro órgão da administração pública,2019.0,2025.0,Coleta iniciada em 2019,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018",Comparável apenas no período de coleta,"0 - Não
1 - Sim
   - Não aplicável para escolas privadas",
Escola,IN_PODER_PUBLICO_PARCERIA,"Parceria ou convênio com o poder público (parceria ou convênio firmado entre a Administração Pública e instituições privadas ou instituições públicas de ensino, autarquias e fundações da administração indireta e demais instituições de educação profissional técnica de nível médio dos serviços sociais autônomos que integram o sistema federal de ensino, para financiamento do atendimento educacional ou para a oferta do itinerário de formação técnica e profissional do ensino médio)",2007.0,2025.0,Coleta contínua 2007-2025,,Potencialmente comparável em toda a série,"0 - Não
1 - Sim","Entre 2007 e 2021:
A variável IN_CONVENIADA_PP foi renomeada para:
IN_PODER_PUBLICO_PARCERIA "
